"title","authors","paper","code","huggingface","colab","youtube","topic","poster","compressed_poster","session","highlight"
"VidEoMT: Your ViT is Secretly Also a Video Segmentation Model","Narges Norouzi, Idil Esen Zulfikar, Niccolò Cavagnero, Tommie Kerssies, Bastian Leibe, Gijs Dubbelman, Daan de Geus",https://arxiv.org/abs/2602.17807,https://github.com/tue-mps/videomt,,,https://www.youtube.com/watch?v=TlPiGQJSEjI,"Segmentation",,,"Sun 7 Jun 10:15-11:30 Poster Session 5 #611",
"MatAnyone 2: Scaling Video Matting via a Learned Quality Evaluator","Peiqing Yang, Shangchen Zhou, Kai Hao, Qingyi Tao",https://arxiv.org/abs/2512.11782,https://github.com/pq-yang/MatAnyone2,https://huggingface.co/spaces/PeiqingYang/MatAnyone,,https://www.youtube.com/watch?v=tyi8CNyjOhc,"Segmentation",,,"Sun 7 Jun 15:30-17:30 Poster Session 6",Award Candidate
"INSID3: Training-Free In-Context Segmentation with DINOv3","Claudia Cuttano, Gabriele Trivigno, Christoph Reich, Daniel Cremers, Carlo Masone, Stefan Roth",https://arxiv.org/abs/2603.28480,https://github.com/visinf/INSID3,,,https://www.youtube.com/watch?v=J5KqA3rnUTE,"Segmentation",,,"Sat 6 Jun 14:00-15:15 Oral Session 4D: Visual Segmentation #1 | Sat 6 Jun 16:45-18:45 Poster Session 4 #19",Oral
"The SA-FARI Dataset: Segment Anything in Footage of Animals for Recognition and Identification","Dante Francisco Wasmuht, Otto Brookes, Maximillian Schall, Pablo Palencia, Chris Beirne, Tilo Burghardt, Majid Mirmehdi, Hjalmar Kühl, Mimi Arandjelovic, Sam Pottie, Peter Bermant, Brandon Asheim, Yi Jin Toh, Adam Elzinga, Jason Holmberg, Andrew Whitworth, Eleanor Flatt, Laura Gustafson, Chaitanya Ryali, Yuan-Ting Hu, Baishan Guo, Andrew Westbury, Kate Saenko, Didac Suris",https://arxiv.org/abs/2511.15622,,https://huggingface.co/datasets/facebook/SA-FARI,,,"Segmentation",,,"Sat 6 Jun 14:00-15:15 Oral Session 4D: Visual Segmentation #5 | Sat 6 Jun 16:45-18:45 Poster Session 4 #23",Award Candidate
"MARCO: Navigating the Unseen Space of Semantic Correspondence","Claudia Cuttano, Gabriele Trivigno, Carlo Masone, Stefan Roth",https://arxiv.org/abs/2604.18267,https://github.com/visinf/MARCO,,,https://www.youtube.com/watch?v=paYaAh-fkYg,"Segmentation",,,"Sat 6 Jun 14:00-15:15 Oral Session 4D: Visual Segmentation #2 | Sat 6 Jun 16:45-18:45 Poster Session 4 #20",Oral
"VGGT-Segmentor: Geometry-Enhanced Cross-View Segmentation","Yulu Gao, Bohao Zhang, Zongheng Tang, Jitong Liao, Wenjun Wu, Si Liu",https://arxiv.org/abs/2604.13596,,,,"https://www.youtube.com/watch?v=56TSdPqQtgA","Segmentation","https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/37369.png?t=1779154215.1613407",https://storage.googleapis.com/com-roboflow-marketing/cvpr-2026-posters/37369.png,"Sat 6 Jun 14:00-15:15 Oral Session 4D: Visual Segmentation #6 | Sat 6 Jun 16:45-18:45 Poster Session 4 #24",Award Candidate
"V²-SAM: Marrying SAM2 with Multi-Prompt Experts for Cross-View Object Correspondence","Jiancheng Pan, Runze Wang, Tianwen Qian, Mohammad Mahdi, Yanwei Fu, Xiangyang Xue, Xiaomeng Huang, Luc Van Gool, Danda Pani Paudel, Yuqian Fu",https://arxiv.org/abs/2511.20886,https://github.com/jaychempan/V2-SAM,,,https://www.youtube.com/watch?v=ieQ2AW3k0W4,"Object Tracking",https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38132.png?t=1779014745.6748493,https://storage.googleapis.com/com-roboflow-marketing/cvpr-2026-posters/38132.png,"Sat 6 Jun 11:45-13:45 Poster Session 3 #248",Award Candidate
"Real-World Point Tracking with Verifier-Guided Pseudo-Labeling","Görkay Aydemir, Fatma Güney, Weidi Xie",https://arxiv.org/abs/2603.12217,https://github.com/gorkaydemir/track_on,,,https://www.youtube.com/watch?v=Ip9hSov6qVQ,"Object Tracking",https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36388.png?t=1778878578.5070403,https://storage.googleapis.com/com-roboflow-marketing/cvpr-2026-posters/36388.png,"Fri 5 Jun 16:00-18:00 Poster Session 2 #593",Award Candidate
"SAM 3D Body: Robust Full-Body Human Mesh Recovery","Xitong Yang, Devansh Kukreja, Don Pinkus, Anushka Sagar, Taosha Fan, Jinhyung Park, Soyong Shin, Jinkun Cao, Jiawei Liu, Nicolas Ugrinovic, Matt Feiszli, Jitendra Malik, Piotr Dollar, Kris Kitani",https://arxiv.org/abs/2602.15989,https://github.com/facebookresearch/sam-3d-body,https://huggingface.co/spaces/akhaliq/sam-3d-body,,https://www.youtube.com/watch?v=B7PZuM55ayc,"Pose Estimation","https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/37714.png?t=1779474509.2077193",https://storage.googleapis.com/com-roboflow-marketing/cvpr-2026-posters/37714.png,"Fri 5 Jun 13:00-14:15 Oral Session 2A #4 | Fri 5 Jun 16:00-18:00 Poster Session 2 #4",Award Candidate
"FMPose3D: monocular 3D pose estimation via flow matching","Ti Wang, Xiaohang Yu, Mackenzie Weygandt Mathis",https://arxiv.org/abs/2602.05755,https://github.com/AdaptiveMotorControlLab/FMPose3D,,,https://www.youtube.com/watch?v=_aUL-QLqeJM,"Pose Estimation",https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38362.png?t=1779290919.2415,https://storage.googleapis.com/com-roboflow-marketing/cvpr-2026-posters/38362.png,"Sat 6 Jun 11:45-13:45 Poster Session 3 #40",
